Die	Die
vergessene	vergessene
Dasche	Tasche
in	in
Bus	Bus
\h	\h
Lea	Lea
und	und
Dodo	Dodo
sitzen	sitzen
in	in
Bus	Bus
.	.
Dodo	Dodo
^	
guckt	guckt
den	den
alten	alten
mann	Mann
an	an
.	.
Lea	Lea
guckt	guckt
^	
aus	aus
den	den
Fenster	Fenster
.	.
Der	Der
alte	alte
man	Mann
hat	hat
^	
ein	ein
geh_stock	Gehstock
.	.
Lea	Lea
geht	geht
mit	mit
Dodo	Dodo
^	
aus	aus
den	den
Bus	Bus
.	.
Dabei	Dabei
vergist	vergisst
Lea	Lea
^	
ihrem	ihrem
Rucksack	Rucksack
.	.
Lea	Lea
guckt	guckt
Doda	Dodo
^	
an	an
.	.
Der	Der
alte	alte
mann	Mann
zeigt	zeigt
Lea	Lea
^	
ihrem	ihrem
Rucksack	Rucksack
.	.
Lea	Lea
ist	ist
erschrocken	erschrocken
.	.
^	
Dodo	Dodo
bleibt	bleibt
stehen	stehen
.	.
Lea	Lea
und	und
Dodo	Dodo
^	
laufen	laufen
hintern	hinter
den	den
Bus	Bus
nach	nach
.	.
Der	Der
^	
Alten	Alten
zeigt	zeigt
Lea	Lea
immer	immer
noch	noch
den	den
^	
Rucksack	Rucksack
.	.
Der	Der
Alte	alte
mann	Mann
gibt	gibt
den	den
^	
Rucksack	Rucksack
in	in
den	den
Fundbüro	Fundbüro
ab	ab
.	.
^	
Der	Der
Rucksack	Rucksack
greigt	kriegt
eine	eine
Nummer	Nummer
.	.
^	
Lea	Lea
hölt	holt
den	den
Rucksasck	Rucksack
in	in
Fundböra	Fundbüro
^	
ab	ab
.	.
Lea	Lea
und	und
Dodo	Dodo
sind	sind
glücklich	glücklich
.	.
^	
Lea	Lea
sagt	sagt
in	in
den	den
Fundbüro	Fundbüro
den	den
Mann	Mann
^	
Tüsch	Tschüss
.	.
