Dodo	Dodo
rennt	rennt
weg	weg
\h	\h
Lars	Lars
und	und
Lea	Lea
gehen	gehen
spazieren	spazieren
^	
mit	mit
Dodo	Dodo
Dodo	Dodo
rennt	rennt
zu	zu
^	
schnell	schnell
und	und
Lars	Lars
kann	kann
Dodo	Dodo
^	
nicht	nicht
mer	mehr
halten	halten
.	.
Und	Und
das	das
^	
seil	Seil
rutch	rutsch
aus	aus
der	der
Hand	Hand
.	.
^	
Dodo	Dodo
folgt	folgt
den	den
Froch	Frosch
nach	nach
.	.
^	
Und	Und
den	den
Froch	Frosch
pringt	springt
aus	aus
^	
der	der
Wiese	Wiese
.	.
Jetzt	Jetzt
springt	springt
Dodo	Dodo
auch	auch
^	
aus	aus
der	der
Wiese	Wiese
.	.
Dodo	Dodo
und	und
der	der
^	
froch	Frosch
sind	sind
auf	auf
einen	einen
See	See
gelandet	gelandet
.	.
