Die	Die
verlorene	verlorene
Tasche	Tasche
\h	\h
Lea	Lea
und	und
Dodo	Dodo
sind	sind
mit	mit
den	den
Bus	Bus
^	
gefahren	gefahren
.	.
Und	Und
Lea	Lea
hatte	hatte
eine	eine
Tasche	Tasche
^	
dabei	dabei
und	und
neben	neben
sie	sie
saß	saß
ein	ein
Mann	Mann
.	.
^	
Sie	Sie
ist	ist
dann	dann
mit	mit
Dodo	Dodo
bei	bei
die	die
nechsten	nächsten
^	
Halteschtelle	Haltestelle
ausgestiegen	ausgestiegen
.	.
Aber	Aber
sie	sie
^	
bemerkte	bemerkte
nicht	nicht
das	dass
sie	sie
seine	seine
Tasche	Tasche
^	
***	?***
hat	hat
.	.
Und	Und
Lea	Lea
ist	ist
weiter	weiter
^	
gegangen	gegangen
dann	dann
hat	hat
sie	sie
bemerkt	bemerkt
^	
das	dass
sie	sie
seine	seine
Tasche	Tasche
vergessen	vergessen
^	
hat	hat
.	.
Der	Der
Mann	Mann
rufte	~rufte
:	:
"	"
Sie	Sie
haben	haben
ihre	Ihre
^	
Tas**e	Tasche
vergessen	vergessen
.	.
"	"
Lea	Lea
ist	ist
schnell	schnell
mit	mit
^	
Dodo	Dodo
gelaufen	gelaufen
aber	aber
Dodo	Dodo
ist	ist
gerast	gerast
.	.
^	
Der	Der
Mann	Mann
ist	ist
dann	dann
zum	zum
Fundladen	Fundladen
^	
gegangen	gegangen
um	um
die	die
Tasche	Tasche
abzugeben	abzugeben
.	.
^	
Der	Der
Mann	Mann
hat	hat
dann	dann
eine	eine
nummer	Nummer
^	
gekrigt	gekriegt
.	.
Lea	Lea
ist	ist
dann	dann
zu	zu
denn	den
Fund-^laden	Fundladen
gegangen	gegangen
um	um
die	die
Tasche	Tasche
zu	zu
holen	holen
.	.
