Der	Der
Gondel	Gondel
\h	\h
Lars	Lars
und	und
Lea	Lea
wollten	wollten
mit	mit
einem	einem
Seil	Seil
etwas	etwas
spielen	spielen
.	.
^	
Lea	Lea
hat	hat
das	das
Seil	Seil
auf	auf
der	der
Fensterbank	Fensterbank
Fest	fest
gemacht	gemacht
.	.
^	
Dann	Dann
hat	hat
lars	Lars
bemerkt	bemerkt
das	dass
Leas	Leas
Gondel	Gondel
ins	ins
sein	sein
Haus	Haus
lag	lag
.	.
^	
Lars	Lars
hat	hat
den	den
Gondel	Gondel
an	an
den	den
Seil	Seil
Fest	fest
gemacht	gemacht
und	und
^	
dann	dann
los_gelassen	losgelassen
damit	damit
der	der
Gondel	Gondel
zu	zu
Lea	Lea
ruscht	rutscht
.	.
^	
Lea	Lea
hat	hat
dann	dann
noch	noch
ein	ein
Seil|	Seil
befestigt	befestigt
.	.
Lea	Lea
hat	hat
den	den
Gonbel	Gondel
^	
wieder	wieder
zu	zu
Lars	Lars
geforfen	geworfen
.	.
Und	Und
als	als
das	das
zu	zu
Lars	Lars
^	
kommte	~kommte
ist	ist
das	das
seil	Seil
abgerissen	abgerissen
.	.
Und	Und
dann	dann
ist	ist
die	die
^	
Gondel	Gondel
auf	auf
den	den
fenster	Fenster
von	von
der	der
Nachbarin	Nachbarin
gestosen	gestoßen
.	.
^	
Und	Und
Lea	Lea
hat	hat
sich	sich
sehr	sehr
erschreckt	erschreckt
.	.
Dann	Dann
hat	hat
^	
die	die
Nachbarin	Nachbarin
aus	aus
den	den
Fenste	Fenster
geguckt	geguckt
und	und
sich	sich
^	
gefragt	gefragt
was	was
pasirt	passiert
ist	ist
.	.
Und	Und
das	das
Teddy	Teddy
lag	lag
^	
auf	auf
der	der
Fensterbank	Fensterbank
