Der	Der
ferlorene	verlorene
Dodo	Dodo
\h	\h
Lea	Lea
hat	hat
Dodo	Dodo
fehrloren	verloren
.	.
Sie	Sie
hengt	hängt
^	
überal	überall
Poster	Poster
auf	auf
.	.
Lea	Lea
wartet	wartet
^	
und	und
wartet	wartet
und	und
wartet	wartet
und	und
wartet	wartet
^	
und	und
wartet	wartet
.	.
Doch	Doch
in	in
lester	letzter
hofn-^ung	Hoffnung
,	,
klingelt	klingelt
das	das
Telefon	Telefon
.	.
"	"
Hallo	Hallo
^	
"	"
sagte	sagte
Lea	Lea
.	.
"	"
Hallo	Hallo
hir	hier
ist	ist
Lars	Lars
^	
ich	ich
habe	habe
Dodo	Dodo
gefunden	gefunden
.	.
"	"
^	
sagte	sagte
Lars	Lars
.	.
"	"
Das	Das
ist	ist
super	super
komm	komm
^	
forbei	vorbei
ich	ich
warte	warte
auf	auf
dich	dich
ok	ok
"	"
^	
sagte	sagte
Lea	Lea
.	.
"	"
ok	Ok
ich	ich
komme	komme
^	
bis	bis
gleich	gleich
.	.
Lars	Lars
ist	ist
angekommen	angekommen
^	
.	.
Lea	Lea
macht	macht
die	die
Tür	Tür
auf	auf
und	und
Lars	Lars
^	
kommt	kommt
rein	rein
.	.
Lea	Lea
ist	ist
super	super
^	
super	super
super	super
super	super
super	super
^	
super	super
super	super
super	super
super	super
^	
glüklich	glücklich
über	über
doe	die
rükehr	Rückkehr
^	
von	von
Dodo	Dodo
.	.
Ich	Ich
danke	danke
^	
dir	dir
das	dass
du	du
ihn	ihn
züruck	zurück
gebracht	gebracht
^	
hast	hast
.	.
The	The
End	End
