Der	Der
Zastörte	zerstörte
Turm	Turm
\h	\h
Lea	Lea
,	,
Lars	Lars
und	und
Fritz	Fritz
bauen	bauen
einen	einen
^	
Turm	Turm
.	.
Dodo	Dodo
wühl	will
in	in
eine	eine
kiste	Kiste
^	
rein	rein
.	.
Lea	Lea
,	,
Lars	Lars
und	und
Fritz	Fritz
haben	haben
^	
den	den
Turm	Turm
fast	fast
fertik	fertig
und	und
Dodo	Dodo
^	
ist	ist
fast	fast
in	in
der	der
Kiste	Kiste
drinn	drin
.	.
^	
Lea	Lea
,	,
Lars	Lars
und	und
Fritz	Fritz
haben	haben
den	den
^	
Turm	Turm
fertik	fertig
.	.
Dodo	Dodo
ist	ist
in	in
der	der
^	
Kiste	Kiste
und	und
Lars	Lars
möchte	möchte
sich	sich
^	
draufsitzen	draufsitzen
.	.
Lars	Lars
hat	hat
sich	sich
^	
drauf	drauf
gesitzt	~gesitzt
dan	dann
ist	ist
er	er
^	
runtergefallen	runtergefallen
und	und
der-	der
^	
Turm	Turm
ist	ist
kaput	kaputt
Fritzt	Fritz
haltet	haltet
^	
alles	alles
.	.
Dodo	Dodo
ist	ist
raus	raus
geckomen	gekommen
^	
und	und
alle	alle
lachen	lachen
^	
Ende	Ende
