lea	Lea
und	und
Lars	Lars
wollen	wollen
heute	heute
mit	mit
ihrem	ihrem
^	
Freund	Freund
spielen	spielen
.	.
Sie	Sie
bauen	bauen
grade	grade
den	den
Turm	Turm
^	
auf	auf
für	für
das	das
spiel	Spiel
und	und
der	der
Freund	Freund
hilft	hilft
.	.
^	
und	und
Dodo	Dodo
möchte	möchte
nur	nur
seine	seine
ruhe	Ruhe
haben	haben
^	
darum	darum
will	will
er	er
unter	unter
den	den
Katong	Karton
.	.
^	
Sie|	Sie
haben	haben
gerade	gerade
d*n	den
turm	Turm
veertig	fertig
^	
und	und
Dodo	Dodo
ist	ist
unter	unter
dem	dem
Katong	Karton
.	.
^	
Sie	Sie
möchtn	möchten
anfangen	anfangen
zu	zu
Spielen	spielen
weill	weil
^	
Lars	Lars
den	den
turm	Turm
alleine	alleine
aufgebaut	aufgebaut
hatt	hat
^	
möchte	möchte
er	er
sich	sich
hin_setzen	hinsetzen
.	.
^	
Plötzlich	Plötzlich
geht	geht
der	der
Katog	Karton
weg	weg
.	.
^	
und	und
lars	Lars
velt|	fällt
hin	hin
.	.
^	
Alle	Alle
denken	denken
was	was
ist	ist
des	das
unter	unter
der	der
Kiste	Kiste
.	.
^	
und	und
dann	dann
sprint	springt
DoDo	Dodo
raus	raus
und	und
Bellt	bellt
^	
und	und
alle	alle
lachen	lachen
und	und
dann	dann
bauen	bauen
Sie	sie
es	es
noch_^mall	nochmal
auf	auf
und	und
Spielen	spielen
.	.
^	
EndE	Ende
