am	Am
Samstag	Samstag
war	war
Lea	Lea
Boby	Bobby
und	und
^	
Lars	Lars
und	und
Dodo	Dodo
Lars	Lars
Lea	Lea
und	und
Boby	Bobby
^	
und	und
sie	sie
Bauen	bauen
ein	ein
Turm	Turm
und	und
^	
Dodo	Dodo
hat	hat
ein	ein
roten	roten
Katog	Karton
gefunden	gefunden
.	.
^	
Lars	Lars
steht	steht
auf	auf
und	und
Baut	baut
immer	immer
^	
noch	noch
ein	ein
Turm	Turm
und	und
Boby	Bobby
halt	halt
^	
den	den
Turm	Turm
fest	fest
,	,
und	und
Dodo	Dodo
geht	geht
^	
in	in
das	das
Katog	Karton
und	und
Lars	Lars
siets	sitzt
auf	auf
^	
den	den
Katog	Karton
,	,
und	und
alles	alles
fellt	fällt
zu	zu
^	
Boby	Bobby
.	.
und	und
Dodo	Dodo
geht	geht
aus	aus
^	
den	den
Katog	Karton
,	,
und	und
all	alle
sind	sind
^	
glüklich	glücklich
und	und
alle	alle
lachen	lachen
.	.
