Der	Der
Unfall	Unfall
\h	\h
Eines	Eines
Tages	Tages
wollte	wollte
Lea	Lea
ihren	ihren
^	
Teddybären	Teddybären
zurück	zurück
.	.
Lars	Lars
brauchte	brauchte
Mr.	Mr.
^	
kipley	Kipley
so	so
heißt	heißt
der	der
Teddybär	Teddybär
für	für
ein	ein
^	
Forschungsprojekt	Forschungsprojekt
.	.
Lea	Lea
hatte	hatte
Lars	Lars
Angerufen	angerufen
.	.
^	
Lars	Lars
hat	hat
gesagt	gesagt
:	:
"	"
Mach	Mach
mall	mal
dein	dein
^	
Fenster	Fenster
auf	auf
.	.
"	"
Lea	Lea
sagte	sagte
:	:
"	"
Okey	Okay
"	"
.	.
Dann	Dann
^	
machte	machte
Lea	Lea
ihr	ihr
Kinderzimmerfenster	Kinderzimmerfenster
^	
auf	auf
.	.
Sie	Sie
sah	sah
Lars	Lars
aus	aus
^	
dem	dem
Fenster	Fenster
gucken	gucken
.	.
Lars	Lars
sagte	sagte
:	:
"	"
ich	Ich
habe	habe
^	
Stubenarest	Stubenarrest
ich	ich
darf	darf
nicht	nicht
raus	raus
.	.
Wie	Wie
^	
soll	soll
ich	ich
dir	dir
dann	dann
Mr.	Mr.
Kipley	Kipley
geben	geben
.	.
"	"
^	
Lea	Lea
sagte	sagte
:	:
"	"
Hmmm	?Hmmm
.	.
"	"
"	"
Aha	Aha
lass	lass
uns	uns
^	
eine	eine
Seilbahn	Seilbahn
machen	machen
so	so
kriege	kriege
^	
ich	ich
meinen	meinen
Bär	Bär
zurück	zurück
und	und
du	du
^	
verlässt	verlässt
nicht	nicht
dein	dein
Zimmer	Zimmer
.	.
"	"
"	"
Okey	Okay
^	
gute	gute
idee	Idee
.	.
"	"
rief	rief
Lars	Lars
.	.
Danach	Danach
schmies	schmiss
Lars	Lars
,	,
^	
Lea	Lea
ein	ein
Seil	Seil
und	und
sagte	sagte
:	:
"	"
Hier	Hier
^	
fang	fang
das	das
Seil	Seil
.	.
"	"
"	"
Okey	Okay
.	.
"	"
sagte	sagte
Lea	Lea
^	
Sie	Sie
fing	fing
das	das
Seil	Seil
.	.
Lars	Lars
hatte	hatte
ein	ein
^	
kleine	kleine
Holzstück	Holzstück
ans	ans
ende	Ende
vom	vom
Seil	Seil
^	
befestigt	befestigt
.	.
Lea	Lea
macht	macht
den	den
Knoten	Knoten
fester	fester
^	
und	und
schrie	schrie
:	:
"	"
Ich	Ich
bin	bin
bereit	bereit
es	es
kann	kann
^	
los_gehen	losgehen
!	!
"	"
Lars	Lars
hatte	hatte
den	den
kleinen	kleinen
^	
Wagon	Wagon
langsam	langsam
ans	ans
Seil	Seil
gebunden	gebunden
.	.
Mr	Mr.
^	
kipley	Kipley
saust	saust
langsam	langsam
durch	durch
die	die
beiden	beiden
^	
Fenster	Fenster
und	und
sogar	sogar
er	er
schrie	schrie
:	:
"	"
Juhu	Juhu
!	!
"	"
.	.
Lea	Lea
^	
hatte	hatte
Mr	Mr.
Kipley	Kipley
fast	fast
aber	aber
dann	dann
^	
passierte	passierte
es	es
plötzlich	plötzlich
wurde	wurde
das	das
Seil	Seil
^	
locker	locker
und	und
Mr.	Mr.
Kipley	Kipley
rief	rief
:	:
"	"
Oh|	Oh
oh	oh
!	!
"	"
^	
Es	Es
wurde	wurde
immer	immer
lockerer	lockerer
Lea	Lea
^	
versuchte	versuchte
das	das
Seil	Seil
festzuhalten	festzuhalten
aber	aber
^	
es	es
war	war
zu	zu
Spät	spät
Mr.	Mr.
Kipley	Kipley
fiel	fiel
^	
runter	runter
und	und
der	der
Wagon	Wagon
knallte	knallte
gegen	gegen
^	
das	das
Fenster	Fenster
von	von
Frau	Frau
Frieg	Frieg
und	und
^	
1000	1000
Scherben	Scherben
fielen	fielen
runter	runter
.	.
Lea	Lea
^	
und	und
Lars	Lars
sagten	sagten
entäuscht	enttäuscht
Oh|	Oh
nein	nein
^	
Mr	Mr.
Kipley	Kipley
.	.
Aber	Aber
zum	zum
Glück	Glück
^	
fiel	fiel
er	er
auf	auf
die	die
Fensterbank	Fensterbank
von	von
^	
Frau	Frau
Frieg	Frieg
.	.
Frau	Frau
Frieg	Frieg
eilte	eilte
ans	ans
Fenster	Fenster
^	
und	und
sah	sah
das	das
Kaputte	kaputte
Fenster	Fenster
und	und
sagte	sagte
:	:
^	
"	"
Oh|	Oh
nein	nein
mein	mein
Schönes	schönes
Fenster	Fenster
.	.
"	"
Frau	Frau
^	
Frieg	Frieg
war	war
entäuscht	enttäuscht
.	.
Lea	Lea
und	und
Lars	Lars
^	
sagten	sagten
:	:
"	"
Es	Es
tut	tut
uns	uns
leid	leid
.	.
"	"
Frau	Frau
Frieg	Frieg
^	
saagte	sagte
:	:
Das	Das
erzähle	erzähle
ich	ich
noch	noch
euren	euren
^	
Eltern	Eltern
.	.
