Die	Die
verschwundete	verschwundene
Tasche	Tasche
\h	\h
Eines	Eines
Mittags	Mittags
Fuhren	fuhren
Lea	Lea
und	und
Dodo	Dodo
^	
von	von
der	der
Schule	Schule
mit	mit
dem	dem
Bus	Bus
nach	nach
Hause	Hause
.	.
^	
Dort	Dort
im	im
Bus	Bus
saß	saß
vor	vor
Lea	Lea
ein	ein
alter	alter
Herr	Herr
^	
mit	mit
einem	einem
Stock	Stock
an	an
seiner	seiner
seite	Seite
.	.
Der	Der
alte	alte
Herr	Herr
^	
sah	sah
Lea	Lea
und	und
Dodo	Dodo
an	an
aber	aber
Lea	Lea
sah	sah
nach	nach
^	
draußen	draußen
und	und
wuste	wusste
nicht	nicht
das	dass
der	der
Herr	Herr
sie	sie
anguckt	anguckt
.	.
^	
Dodo	Dodo
aber	aber
guckte	guckte
ihn	ihn
an	an
.	.
Der	Der
Bus	Bus
hielt	hielt
an	an
^	
und	und
Lea	Lea
stieg	stieg
mit	mit
Dodo	Dodo
aus	aus
.	.
Da	Da
war	war
noch	noch
ihre	ihre
^	
Tasche	Tasche
im	im
Bus	Bus
aber	aber
Lea	Lea
merkte	merkte
es	es
nicht	nicht
sie	sie
^	
ging	ging
einfach	einfach
weiter	weiter
.	.
Dann	Dann
Fuhr	fuhr
der	der
Bus	Bus
fort	fort
.	.
^	
Plötzlich	Plötzlich
ist	ist
ihr	ihr
eingefalen	eingefallen
das	dass
ihre	ihre
Tasche	Tasche
^	
noch	noch
im	im
Bus	Bus
ist	ist
.	.
Der	Der
alte	alte
Herr	Herr
hielt	hielt
die	die
Tasche	Tasche
^	
hoch	hoch
.	.
So	So
schnell	schnell
sie	sie
konnte	konnte
rannte	rannte
Lea	Lea
den	den
^	
Bus	Bus
hinter_her	hinterher
aber	aber
sie	sie
bekam	bekam
ihn	ihn
nicht	nicht
mehr	mehr
.	.
^	
Lea	Lea
war	war
erschöpft	erschöpft
.	.
Der	Der
alte	alte
Herr	Herr
ging	ging
zum	zum
Fund-^büro	Fundbüro
und	und
gab	gab
es	es
dort	dort
ab	ab
.	.
Er	Er
sagte	sagte
die	die
Tasche	Tasche
^	
gehört	gehört
einen	einen
Mädchen	Mädchen
mit	mit
einer	einer
dicken	dicken
bunten	bunten
^	
Kette	Kette
und	und
einem	einem
Hund	Hund
.	.
Lea	Lea
ging	ging
zum	zum
Fund-^büro	Fundbüro
und	und
fragte	fragte
ob	ob
sie	sie
eine	eine
gelbe	gelbe
Tasche	Tasche
^	
Der	Der
mann	Mann
sagt	sagt
ich	ich
hole	hole
sie	sie
dir	dir
.	.
Fohin	Vorhin
^	
hat	hat
ein	ein
alter	alter
Herr	Herr
mir	mir
sie	sie
gegeben	gegeben
^	
und	und
sagt	sagt
sie	sie
gehöre	gehöre
dir	dir
.	.
Hier	Hier
ist	ist
deine	deine
Tasche	Tasche
.	.
^	
Danke	Danke
sagte	sagte
Lea	Lea
.	.
Sie	Sie
war	war
dem	dem
Herrn	Herrn
dankbar	dankbar
.	.
^	
Jetzt	Jetzt
war	war
Lea	Lea
glücklig	glücklich
und	und
zufrieden	zufrieden
.	.
^	
The	The
^	
Ende	Ende
