Der	Der
Teddy	Teddy
in	in
der	der
Gondel	Gondel
\h	\h
An	An
einem	einem
schönen	schönen
Tag	Tag
haben	haben
sich	sich
^	
Lea	Lea
und	und
Lars	Lars
an	an
ihrem	ihrem
Fenster	Fenster
^	
getrofen	getroffen
.	.
Als	Als
sie	sie
beide	beide
da	da
waren	waren
^	
hat	hat
Lars	Lars
ein	ein
stück	Stück
Seil	Seil
zu	zu
Lea	Lea
^	
rübber	rüber
geworfen	geworfen
und	und
Lea	Lea
hat	hat
es	es
^	
dann	dann
gefangen	gefangen
.	.
Sie	Sie
bindet	bindet
es	es
an	an
ein	ein
^	
kleinen	kleinen
Grif	Griff
an	an
der	der
Fensterbank	Fensterbank
,	,
^	
als	als
Lea	Lea
es	es
geschaft	geschafft
hat	hat
,	,
hat	hat
^	
Lars	Lars
eine	eine
Gondel	Gondel
mit	mit
einem	einem
Teddy	Teddy
^	
drin	drin
auf	auf
das	das
Seil	Seil
gelegt	gelegt
und	und
ihn	ihn
^	
losgelassen	losgelassen
.	.
Dann	Dann
ist	ist
er	er
auf	auf
dem	dem
^	
Seil	Seil
zu	zu
Lea	Lea
gerutscht	gerutscht
und	und
Lea	Lea
^	
hat	hat
ihn	ihn
dann	dann
zurück	zurück
geschupst	geschupst
.	.
^	
Dann	Dann
sah	sah
der	der
Teddy	Teddy
fröhlich	fröhlich
raus	raus
^	
aber	aber
dann	dann
war	war
das	das
Seil	Seil
locker	locker
^	
und	und
er	er
ist	ist
mit	mit
der	der
Gondel	Gondel
in	in
^	
das	das
Fenster	Fenster
von	von
der	der
Frau	Frau
,	,
die	die
^	
unter	unter
Lars	Lars
wohnt	wohnt
.	.
^	
Da	Da
hat	hat
die	die
Gondel	Gondel
das	das
^	
Fenster	Fenster
von	von
der	der
Frau	Frau
zer-^schmettert	zerschmettert
und	und
der	der
Teddy	Teddy
ist	ist
^	
mit	mit
einem	einem
komischen	komischen
Gesichts-^ausdruk	Gesichtsausdruck
aus	aus
der	der
Gondel	Gondel
^	
unter	unter
das	das
Fenster	Fenster
gefallen	gefallen
.	.
^	
Die	Die
Gondel	Gondel
ist	ist
aber	aber
ins	ins
Fenster	Fenster
^	
rein	rein
und	und
es	es
sind	sind
viele	viele
Scherben	Scherben
^	
durch	durch
die	die
Luft	Luft
geflogen	geflogen
.	.
Es	Es
hat	hat
^	
so	so
ein	ein
Lerm	Lärm
gemacht	gemacht
das	dass
^	
die	die
Frau	Frau
aufgeweckt	aufgeweckt
wurde	wurde
und	und
^	
aus	aus
dem	dem
Fenster	Fenster
geguckt	geguckt
hat	hat
^	
dabei	dabei
sah	sah
sie	sie
nicht	nicht
besonders	besonders
^	
fröhlich	fröhlich
aus	aus
.	.
Sie	Sie
hat	hat
aber	aber
nicht	nicht
^	
den	den
Teddy	Teddy
unter	unter
dem	dem
Fenster	Fenster
^	
liegen	liegen
sehen	sehen
.	.
Lea	Lea
und	und
Lars	Lars
^	
haben	haben
dann	dann
schnell	schnell
die	die
Fenster	Fenster
^	
zu	zu
gemacht	gemacht
.	.
