Dod	Dodo
in	in
der	der
Schule	Schule
\h	\h
Lea	Lea
wartet	wartet
auf	auf
Lars	Lars
.	.
Der	Der
Lars	Lars
rennt	rennt
zur	zur
^	
Lea	Lea
sie	sie
gehen	gehen
zusammen	zusammen
in	in
einer	einer
ecke	Ecke
und	und
^	
da	da
kommt	kommt
schon	schon
Dodo	Dodo
aus	aus
Leas	Leas
Jacke	Jacke
.	.
Es	Es
^	
hat	hat
geklingelt	geklingelt
Lea	Lea
und	und
Lars	Lars
mussen	müssen
in	in
die	die
^	
Klasse	Klasse
.	.
Lea	Lea
versteckt	versteckt
Dodo	Dodo
wieder	wieder
in	in
seine	seine
Jacke	Jacke
.	.
^	
Lea	Lea
arbeitet	arbeitet
und	und
Dodo	Dodo
schaut	schaut
heraus	heraus
und	und
^	
Lechelt	lächelt
.	.
Der	Der
Dodo	Dodo
sieht	sieht
aus	aus
dem	dem
Fenster	Fenster
und	und
^	
siht	sieht
ein	ein
Vogel	Vogel
und	und
bellt	bellt
:	:
"	"
wof	Wuff
wof	wuff
"	"
.	.
Dodo	Dodo
springt	springt
^	
auf	auf
den	den
Tisch	Tisch
und	und
bellt	bellt
lauter	lauter
:	:
"	"
wof	Wuff
wof	wuff
wof	wuff
"	"
Da	Da
^	
kommt	kommt
die	die
Frau	Frau
Ensen	Ensen
und	und
lechelte	lächelte
.	.
Lea	Lea
grinst	grinst
^	
und	und
der	der
Vogel	Vogel
fliegt	fliegt
weg	weg
.	.
Zum	Zum
Schluss	Schluss
hat	hat
^	
Frau	Frau
Ense	Ensen
gesagt	gesagt
:	:
"	"
Na	Na
gut	gut
nur	nur
für	für
heute	heute
darf	darf
^	
Dodo	Dodo
hir	hier
bleiben	bleiben
sonst	sonst
nicht	nicht
okey	okay
"	"
.	.
Lea	Lea
sagt	sagt
:	:
Ja	Ja
^	
Frau	Frau
Ensen	Ensen
ich	ich
danke	danke
sie	Sie
sehr	sehr
"	"
.	.
