Die	Die
Seilbahn	Seilbahn
\h	\h
Eines	Eines
Tages	Tages
wollte	wollte
Lars	Lars
und	und
Lea	Lea
^	
ein	ein
Probeflug	Probeflug
machen	machen
aber	aber
erst	erst
bauen	bauen
.	.
"	"
Hallo	Hallo
,	,
^	
Lea	Lea
nimm	nimm
das	das
"	"
Seil	Seil
"	"
rief	rief
Lars	Lars
.	.
Lea	Lea
nahm	nahm
^	
das	das
Seil	Seil
.	.
Sie	Sie
bindete	~bindete
das	das
auf	auf
die	die
Fensterban*	Fensterbank
.	.
^	
Lars	Lars
bindete	~bindete
die	die
bahn	Bahn
auf	auf
das	das
Seil	Seil
^	
und	und
schob	schob
es	es
zu	zu
Lea	Lea
.	.
Es	Es
kam	kam
immer	immer
^	
langsamer	langsamer
und	und
langsamer	langsamer
.	.
Plötzlich	Plötzlich
*evor	bevor
^	
Lea	Lea
das	das
nahm	nahm
ist	ist
das	das
1	1
Seil	Seil
fast	fast
zerbrochen	zerbrochen
.	.
^	
Das	Das
Seil	Seil
wackelte	wackelte
und	und
wackelte	wackelte
.	.
Es	Es
ist	ist
^	
kaputt	kaputt
gegangen	gegangen
.	.
Und	Und
auf	auf
das	das
untere	untere
^	
Fenster	Fenster
gefallen	gefallen
.	.
"	"
Das	Das
ist	ist
kaputt	kaputt
"	"
rief	rief
Lars	Lars
.	.
^	
Die	Die
Dame	Dame
ist	ist
sehr	sehr
traurig	traurig
.	.
