Lea	Lea
und	und
Lars	Lars
gehen	gehen
mit	mit
dodo	Dodo
^	
spasien	spazieren
.	.
dan	dann
geht	geht
dodo	Dodo
weg	weg
.	.
^	
dodo	Dodo
Jagt	jagt
den	den
Frosch	Frosch
.	.
^	
dodo	Dodo
Jagt	jagt
weiter	weiter
der	der
Frosch	Frosch
springt	springt
^	
über	über
der	der
Mauer	Mauer
.	.
^	
dodo	Dodo
springt	springt
auch	auch
Lea	Lea
und	und
Lars	Lars
^	
folgen	folgen
in	ihn
auch	auch
.	.
^	
der	der
Frosch	Frosch
ist	ist
endwicht	entwischt
^	
dodo	Dodo
ist	ist
nas	nass
Lea	Lea
und	und
Lars	Lars
^	
Lachen	lachen
und	und
die	die
mauer	Mauer
ist	ist
klein	klein
^	
die	die
leine	Leine
ist	ist
nas	nass
Lea	Lea
und	und
Lars	Lars
^	
dodo	Dodo
schtet	steht
im	im
wasser	Wasser
^	
Lea	Lea
und	und
Lars	Lars
sint	sind
erschoft	erschöpft
.	.
