Die	Die
Seilbahn	Seilbahn
\h	\h
Lea	Lea
hatte	hatte
geburstag	Geburtstag
und	und
Lars	Lars
wollte	wollte
ihr	ihr
^	
ein	ein
Teddy	Teddy
schenken	schenken
deshalb	deshalb
hatte	hatte
Lars	Lars
^	
ein	ein
Seil	Seil
mit	mit
ein	ein
Holzstück	Holzstück
zu	zu
ihr	ihr
^	
geworfen	geworfen
.	.
^	
Dann	Dann
hat	hat
Lea	Lea
es	es
wo	wo
angebunden	angebunden
^	
dann	dann
hat	hat
Lars	Lars
eine	eine
kabine	Kabine
an	an
der	der
^	
Seilbahn	Seilbahn
befestigt	befestigt
.	.
^	
Nun	Nun
hat	hat
Lars	Lars
den	den
Teddy	Teddy
in	in
die	die
kabine	Kabine
^	
gelegt	gelegt
und	und
die	die
kabine	Kabine
runter	runter
zur	zur
Lea	Lea
^	
gegleitet	~gegleitet
.	.
^	
Dann	Dann
hat	hat
die	die
Seilbahn	Seilbahn
angefangen	angefangen
^	
zu	zu
wakkeln	wackeln
und	und
wird	wird
locker	locker
.	.
^	
Nun	Nun
rutscht	rutscht
das	das
Seil	Seil
ab	ab
und	und
die	die
^	
Kabbine	Kabine
knallt	knallt
in	in
das	das
Fenster	Fenster
der	der
^	
Nachberrin	Nachbarin
und	und
verursacht	verursacht
ein	ein
Loch	Loch
^	
Lea	Lea
hat	hat
sich	sich
erschrokken	erschrocken
und	und
Lars	Lars
^	
hat	hat
versucht	versucht
das	das
unglück	Unglück
zu	zu
retten	retten
.	.
^	
Dann	Dann
kommt	kommt
die	die
Nachberrin	Nachbarin
^	
und	und
ist	ist
erschrocken	erschrocken
und	und
denkt	denkt
^	
das	dass
der	der
Teddy	Teddy
es	es
war	war
aber	aber
^	
glaubt	glaubt
es	es
nicht	nicht
und	und
ist	ist
erschtaund	erstaunt
^	
wie	wie
es	es
nur	nur
pasiert	passiert
ist	ist
.	.
