Lea	Lea
henkte	hängte
Plakate	Plakate
auf	auf
.	.
Lea	Lea
war	war
traurig	traurig
und	und
guckte	guckte
sein	sein
Stift	Stift
an	an
.	.
^	
Dann	Dann
ruft	ruft
Leas	Leas
Freund	Freund
an	an
.	.
^	
Er	Er
hate	hatte
Dodo	Dodo
.	.
^	
Als	Als
nächstes	nächstes
war	war
Lea	Lea
wieder	wieder
glüglich	glücklich
.	.
^	
Leas	Leas
Freund	Freund
stand	stand
hinter	hinter
der	der
Tür	Tür
und|	und
Kl-^ingelte	klingelte
.	.
^	
Lea	Lea
hat	hat
Dodo	Dodo
gefunden	gefunden
und	und
Leas	Leas
Freund	Freund
hat	hat
^	
Lea	Lea
ein	ein
Loly	Lolli
gekauft	gekauft
.	.
