Der	Der
Stuntteddy	Stuntteddy
\h	\h
Am	Am
Samstag	Samstag
hatten	hatten
Lea	Lea
und	und
Lars	Lars
^	
Hauserrest	Hausarrest
und	und
heute	heute
hat	hat
Lars	Lars
versprochen	versprochen
^	
Lea	Lea
sein	sein
Teddy	Teddy
auszuleihen	auszuleihen
,	,
er	er
dachte	dachte
^	
und	und
hatte	hatte
eine	eine
tolle	tolle
Idee	Idee
.	.
Er	Er
rief	rief
^	
Lea	Lea
an	an
und	und
sagte	sagte
seine	seine
tolle	tolle
Idee	Idee
,	,
Lea	Lea
^	
war	war
beeindruckt	beeindruckt
und	und
wollt	wollt
mitmachen	mitmachen
.	.
^	
Die	Die
Idee	Idee
war	war
das	dass
sie	sie
eine	eine
Seibahn	Seilbahn
^	
bauen	bauen
.	.
Lars	Lars
nahm	nahm
ein	ein
Seil	Seil
,	,
seine	seine
Spiel-^zeugseilbahn	Spielzeugseilbahn
und	und
sein	sein
Teddy	Teddy
.	.
Er	Er
^	
schmeißte	~schmeißte
das	das
Seil	Seil
zu	zu
Lea	Lea
und	und
sie	sie
^	
bindet	bindet
es	es
am	am
ihren	ihren
Fenster	Fenster
und	und
machte	machte
^	
daraus	daraus
eine	eine
Seilbahn	Seilbahn
.	.
Lars	Lars
nahm	nahm
sein	sein
^	
Spielzeug	Spielzeug
und	und
sein	sein
Teddy	Teddy
,	,
es	es
rollte	rollte
^	
zu	zu
Lea	Lea
,	,
auf|	auf
einmal	einmal
zerreißte	~zerreißte
sich	sich
das	das
^	
Seil	Seil
und	und
zerbrach	zerbrach
das	das
Fenster	Fenster
von	von
^	
seiner	seiner
Mutter	Mutter
und	und
erschreckte	erschreckte
sich	sich
.	.
Die	Die
^	
Mutter	Mutter
bemerkte	bemerkte
nicht	nicht
das	dass
der	der
Teddy	Teddy
^	
am	am
Fensterrand	Fensterrand
war	war
.	.
Lars	Lars
ging	ging
nach	nach
^	
unten	unten
und	und
sagte	sagte
es	es
seiner	seiner
Mutter	Mutter
.	.
Seine	Seine
^	
Mutter	Mutter
sagte	sagte
:	:
"	"
Lars	Lars
das	das
war	war
nicht	nicht
^	
gut	gut
jetzt	jetzt
musst	musst
du	du
1000€	1000€
bezahlen	bezahlen
.	.
"	"
Lars	Lars
war	war
traurig	traurig
und	und
gleichzeitig	gleichzeitig
sauer	sauer
^	
und	und
dachte	dachte
:	:
"	"
Warum	Warum
hatte	hatte
ich	ich
diese	diese
Idee	Idee
!	!
"	"
^	
Er	Er
rief	rief
Lea	Lea
an	an
und	und
sagte	sagte
was	was
passiert	passiert
^	
ist	ist
.	.
Lea	Lea
hat	hat
mitgemacht	mitgemacht
und	und
hatten	hatten
^	
fast	fast
1000€	1000€
aber	aber
sie	sie
brauchen	brauchen
nur	nur
noch	noch
^	
1€	1€
und	und
fragte	fragte
ihren	ihren
Vater	Vater
ob	ob
er	er
^	
sie	sie
1€	1€
geben	geben
kann	kann
und	und
sagte	sagte
ja	ja
.	.
^	
Jetzt	Jetzt
hatten	hatten
sie	sie
1000€	1000€
und	und
konnten	konnten
^	
es	es
bezahlen	bezahlen
.	.
