Lea	Lea
und	und
Dodo	Dodo
sitzen	sitzen
mit	mit
einem	einem
Mann	Mann
im	im
^	
Bus	Bus
und	und
Lea	Lea
Kugt	kuckt
vom	vom
Fenster	Fenster
.	.
Der	Der
Bus	Bus
^	
hat	hat
angehalten	angehalten
Dann	Dann
ist	ist
Lea	Lea
mit	mit
Dodo	Dodo
^	
ausgestigen	ausgestiegen
.	.
Dann	Dann
hat	hat
Lea	Lea
bemerKt	bemerkt
das	dass
^	
sie	sie
ihre	ihre
Tasche	Tasche
vergessen	vergessen
hat	hat
.	.
Dann	Dann
ist	ist
^	
Lea	Lea
und	und
Dodo	Dodo
den	den
Bus	Bus
hinterher_gelaufen	hinterhergelaufen
^	
aber	aber
der	der
Bus	Bus
war	war
zu	zu
schnell	schnell
für	für
Lea	Lea
und	und
^	
Dodo	Dodo
.	.
Danach	Danach
ist	ist
der	der
Mann	Mann
mit	mit
Lears	Leas
Tasche	Tasche
^	
zum	zum
Fundbero	Fundbüro
gegangen	gegangen
.	.
