Lea	Lea
vergaß	vergaß
ihr	ihr
Rucksack	Rucksack
.	.
\h	\h
An	An
einemem	einem
schönen	schönen
Tag	Tag
stieg	stieg
Lea	Lea
^	
auf	auf
einem	einem
Bus	Bus
mit	mit
Dodo	Dodo
und	und
lag	lag
ihr	ihr
^	
Rucksack	Rucksack
neben	neben
ihn	ihn
.	.
Als	Als
Lea	Lea
in	in
einer	einer
^	
Bushaltestelle	Bushaltestelle
war	war
musste	musste
sie	sie
ausstiegen	ausstiegen
.	.
Der	Der
^	
alte	alte
Mann	Mann
klopfte	klopfte
an	an
die	die
Fenster	Fenster
^	
und	und
zeigte	zeigte
noch	noch
dabei	dabei
ihre	ihre
Rucksack	Rucksack
.	.
^	
Lea	Lea
wollte	wollte
den	den
Bus	Bus
fangen	fangen
aber	aber
^	
sie	sie
schafte	schaffte
es	es
nicht	nicht
.	.
In_zwischen	Inzwischen
kam	kam
^	
eine	eine
andere	andere
Bushaltestelle	Bushaltestelle
und	und
^	
der	der
alte	alte
mann	Mann
musste	musste
ausstiegen	ausstiegen
.	.
Als	Als
^	
der	der
alte	alte
Mann	Mann
bischen	bisschen
laufen	laufen
musste	musste
^	
hatte	hatte
der	der
Mann	Mann
zum	zum
fundbiro	Fundbüro
gegangen	gegangen
^	
und	und
hat	hat
die	die
Rucksack	Rucksack
zu	zu
der	der
Biro	Büro
Mann	Mann
^	
gegeben	gegeben
.	.
An	An
einem	einem
anderen	anderen
Tag	Tag
ging	ging
Lea	Lea
^	
zu	zu
fund_Biro	Fundbüro
und	und
hat	hat
zu	zu
Biro	Büro
Mann	Mann
^	
gesagt	gesagt
habt	habt
ihr	ihr
hier	hier
einen	einen
Gelben	gelben
Rucksack	Rucksack
.	.
^	
Der	Der
Biro	Büro
Mann	Mann
hat	hat
gesagt	gesagt
:	:
ja	Ja
.	.
"	"
Darf	Darf
^	
ich	ich
dan	dann
meinen	meinen
Rucksack	Rucksack
haben	haben
.	.
Der	Der
Mann	Mann
