Dodo	Dodo
ist	ist
weg	weg
!!!	!!!
\h	\h
Lea	Lea
hängt	hängt
fast	fast
den	den
ganzen	ganzen
Tag	Tag
Plakarte	Plakate
auf	auf
.	.
^	
Sie	Sie
weis	weiß
nemlich	nämlich
nicht	nicht
wo	wo
Dodo	Dodo
ist	ist
.	.
Er	Er
^	
ist	ist
verschwunden	verschwunden
.	.
Sie	Sie
ist	ist
so	so
traurig	traurig
das	dass
sie	sie
^	
fast	fast
gar|	gar
nicht	nicht
mer	mehr
reden	reden
kann	kann
.	.
Lea	Lea
ist	ist
total	total
^	
sauer	sauer
und	und
traurig	traurig
.	.
Sie	Sie
wartet	wartet
auf	auf
einen	einen
^	
Anruf	Anruf
.	.
Lea|	Lea
hut	hat
nemlich	nämlich
die	die
Telefonnumer	Telefonnummer
^	
auf	auf
den	den
Plakart	Plakat
aufgeschriben	aufgeschrieben
.	.
Sie	Sie
hoft	hofft
das	dass
^	
Dodo	Dodo
Kommt	kommt
.	.
Dann	Dann
kommt	kommt
ein	ein
Anruf	Anruf
.	.
Der	Der
^	
Anruf	Anruf
ist	ist
fon	von
Lars	Lars
.	.
Lea	Lea
weis	weiß
nicht	nicht
warum	warum
^	
Lars	Lars
sie	sie
anruft	anruft
.	.
Lars	Lars
erzelt	erzählt
das	dass
Dodo	Dodo
bei	bei
^	
im	ihm
ist	ist
Lea	Lea
ist	ist
total	total
glücklich	glücklich
.	.
Plözlich	Plötzlich
klingelt	klingelt
^	
es	es
an	an
:	:
der	der
Tür	Tür
.	.
Lars	Lars
und	und
Dodo	Dodo
sten	stehen
for	vor
der	der
^	
Tür	Tür
.	.
Lea	Lea
ist	ist
über_glücklich	überglücklich
das	dass
Dodo|	Dodo
wider	wieder
^	
da	da
ist	ist
.	.
Dodo	Dodo
ist	isst
Lars	Lars
und	und
Lea	Lea
umarmen|	umarmen
sich	sich
.	.
^	
Und	Und
sie	sie
sind	sind
wieder	wieder
glücklich	glücklich
.	.
