Der	Der
Unfall	Unfall
\h	\h
Lars	Lars
und	und
Lea	Lea
standen	standen
an	an
ihren	ihren
Fenster	Fenster
.	.
Sie	Sie
wonte	wohnte
^	
gegen_über	gegenüber
von	von
Lars	Lars
.	.
Sie	Sie
redeten	redeten
doch	doch
Lars	Lars
ging	ging
auf	auf
^	
einmal	einmal
vom	vom
Fenster	Fenster
weg	weg
.	.
"	"
Wo	Wo
wilst	willst
du	du
hin	hin
!	!
"	"
^	
rief	rief
Lea	Lea
.	.
Doch	Doch
er	er
antwortete	antwortete
nicht	nicht
.	.
Lea	Lea
Blieb	blieb
am	am
^	
fenster	Fenster
stehen	stehen
und	und
wartet	wartet
bis	bis
Lars	Lars
wider	wieder
kam	kam
^	
aber	aber
wider	wieder
kam	kam
rief	rief
Lea	Lea
:	:
"	"
Was	Was
hast	hast
du	du
gemacht	gemacht
?	?
"	"
"	"
Ich	Ich
habe	habe
^	
ein	ein
seil	Seil
geholt	geholt
"	"
Antwortete	antwortete
Lars	Lars
.	.
"	"
Warum	Warum
?	?
"	"
^	
rief	rief
Lea	Lea
"	"
du	Du
hast	hast
deinen	deinen
Tedi	Teddy
bei	bei
mir	mir
fergesen	vergessen
!	!
"	"
^	
Antwortete	antwortete
Lars	Lars
.	.
Da	Da
sagte	sagte
Lea	Lea
:	:
"	"
Ja	Ja
ic	ich
weis	weiß
.	.
^	
Aber	Aber
wofür	wofür
das	das
seil	Seil
?	?
"	"
da	Da
rif	rief
Lars	Lars
:	:
fang	Fang
!	!
"	"
^	
und	und
warf	warf
das	das
seil	Seil
ruber	rüber
.	.
Lea	Lea
hat	hat
es	es
gefangen	gefangen
^	
und	und
rief	rief
"	"
Was	Was
soll	soll
ich	ich
mit	mit
dem	dem
seil	Seil
?	?
"	"
Lars	Lars
^	
zeigte	zeigte
ihr	ihr
eine	eine
kleine	kleine
gondel	Gondel
und	und
rief	rief
:	:
"	"
^	
mach	Mach
das	das
seil	Seil
an	an
der	der
Fensterbank	Fensterbank
fest	fest
.	.
Dan	Dann
^	
las	lass
ich	ich
die	die
gondel	Gondel
auf	auf
dem	dem
seil	Seil
zu	zu
dir	dir
^	
rüber	rüber
faren	fahren
und	und
der	der
Tedi	Teddy
sitzt	sitzt
solange	solange
^	
in	in
der	der
gondel	Gondel
!	!
"	"
"	"
O.k.	O.k.
'"	'"
rief	rief
Lea	Lea
und	und
bant	band
^	
dass	das
seil	Seil
fest	fest
.	.
Lars	Lars
setzte	setzte
die	die
gondel	Gondel
^	
mit	mit
dem	dem
Tedi	Teddy
drin	drin
auf	auf
das	das
seil	Seil
.	.
Doch	Doch
^	
als	als
die	die
gondel	Gondel
schon	schon
fast	fast
bei	bei
Lea	Lea
war	war
^	
löste	löste
sich	sich
der	der
knoten	Knoten
.	.
Die	Die
kleine	kleine
gondel	Gondel
^	
krachte	krachte
ins	ins
fenster	Fenster
von	von
Lars	Lars
nachbarn	Nachbarn
^	
und	und
der	der
Tedi	Teddy
viel	fiel
raus	raus
.	.
