Die	Die
verlorene	verlorene
Tasche	Tasche
im	im
Bus	Bus
\h	\h
Als	Als
Lea	Lea
und	und
Dodo	Dodo
im	im
Bus	Bus
sahsen	saßen
^	
hat	hat
Lea	Lea
ihr	ihr
rucksack	Rucksack
abgemacht	abgemacht
und	und
^	
neben	neben
sich	sich
hingelegt	hingelegt
gegenüber	gegenüber
war	war
ein	ein
^	
Alter	alter
Mann	Mann
.	.
^	
Als	Als
Lea	Lea
dan	dann
mit	mit
Dodo	Dodo
ausgestigen	ausgestiegen
^	
ist	ist
hat	hat
sie	sie
ihr	ihr
Rucksack	Rucksack
vergesen	vergessen
.	.
^	
Als	Als
der	der
Bus	Bus
Los_gefahren	losgefahren
ist	ist
hat	hat
^	
der	der
Alte	alte
Mann	Mann
gerufen	gerufen
und	und
gewuncken	gewunken
^	
du	du
hast	hast
deine	deine
Tasche	Tasche
vergessen	vergessen
als	als
^	
Lea	Lea
es	es
bemerkt	bemerkt
hate	hatte
hat	hat
sie	sie
sich	sich
^	
erschrocken	erschrocken
.	.
^	
Lea	Lea
hatte	hatte
es	es
bemerckt	bemerkt
und	und
ist	ist
hinterher	hinterher
^	
gerant	gerannt
und	und
hat	hat
geschrihen	geschrien
:	:
"	"
Stop	Stop
^	
meine	meine
Tasche	Tasche
habe	habe
ich	ich
vergessen	vergessen
.	.
"	"
Als	Als
der	der
Alte|	alte
Mann	Mann
aus	aus
dem	dem
Bus	Bus
ausgeschtigen	ausgestiegen
^	
ist	ist
ist	ist
er	er
zum	zum
Fundbüro	Fundbüro
gegangen	gegangen
unt	und
^	
hat	hat
es	es
abgegeben	abgegeben
und	und
gesagt	gesagt
:	:
"	"
Ein	Ein
^	
kleines	kleines
Mädchen	Mädchen
hat	hat
die	die
Tasche	Tasche
^	
vergessen	vergessen
wen	wenn
sie	sie
wieder	wieder
kommt	kommt
^	
können	können
sie	sie
die	die
Tasch	Tasche
wieder	wieder
abgeben	abgeben
"	"
^	
dan	dann
hat	hat
der	der
Mann	Mann
gesagt	gesagt
:	:
"	"
Ok	Ok
"	"
.	.
^	
Dan	Dann
ist	ist
Lea	Lea
mit	mit
Dodo	Dodo
zum	zum
Fundbüro	Fundbüro
^	
gegangen	gegangen
und	und
hat	hat
gefragt	gefragt
:	:
"	"
Ist	Ist
hier	hier
^	
vieleicht	vielleicht
meine	meine
Tasche	Tasche
"	"
dan	dann
hat	hat
der	der
^	
Mann	Mann
gesagt	gesagt
:	:
"	"
Ja	Ja
meinst	meinst
du	du
dise	diese
"	"
^	
dan	dann
hat	hat
Lea	Lea
gesagt	gesagt
:	:
"	"
Ja	Ja
dankeschön	dankeschön
"	"
^	
dan	dann
hat	hat
der	der
Man	Mann
gesagt	gesagt
:	:
"	"
du	Du
musst	musst
dich	dich
^	
nich	nicht
bei	bei
mir	mir
bedancken	bedanken
der	der
Alte	alte
Man	Mann
^	
der	der
hat	hat
die	die
Tasche	Tasche
hier_hin	hierhin
gebracht	gebracht
.	.
"	"
