Lea	Lea
und	und
Lars	Lars
wolen	wollen
ein	ein
eis	Eis
habe	habe
.	.
Lea	Lea
wil	will
ein	ein
^	
eis	Eis
mit	mit
2	2
kugeln	Kugeln
haben	haben
.	.
Lars	Lars
wil	will
auch	auch
2	2
kugeln|	Kugeln
Eis	Eis
^	
haben	haben
.	.
Dann	Dann
haten	hatten
sie	sie
ir	ihr
Eis	Eis
.	.
Aber	Aber
dan	dann
gantz	ganz
plötz-^lich	plötzlich
vil	fiel
sie	sie
hin	hin
.	.
Lars	Lars
rante	rannte
zu	zu
Lea	Lea
.	.
Und	Und
^	
vrakte	fragte
Lea	Lea
alles	alles
ok	ok
.	.
Lea	Lea
sakte	sagte
nein	nein
.	.
Lars	Lars
^	
hate	hatte
eine	eine
ide	Idee
.	.
Lars	Lars
teilte	teilte
das	das
Eis	Eis
mit	mit
Lea	Lea
.	.
Lea	Lea
^	
weite	weinte
nicht	nicht
mer	mehr
.	.
Und	Und
beide	beide
waren	waren
zu_vriden	zufrieden
.	.
