Der	Der
Turm	Turm
\h	\h
Lea	Lea
,	,
Lars	Lars
und	und
Luigi	Luigi
bauen	bauen
einen	einen
Turm	Turm
^	
und	und
Dodo	Dodo
frsucht	versucht
unter	unter
der	der
Katong	Karton
zu	zu
^	
klettern	klettern
.	.
Lea	Lea
,	,
Lars	Lars
und	und
Luigi	Luigi
waren	waren
mit	mit
^	
dem	dem
Turm	Turm
fast	fast
fertig	fertig
da	da
war	war
Dodo	Dodo
^	
fast	fast
unter	unter
dem	dem
Katong	Karton
.	.
Wo	Wo
Lars	Lars
,	,
Lea	Lea
und	und
Luigi	Luigi
fertig	fertig
waren	waren
wolte	wollte
Lars	Lars
sich	sich
^	
hinsezen	hinsetzen
dann	dann
bach	brach
der	der
Katong	Karton
zusamen	zusammen
.	.
^	
Lars	Lars
,	,
Luigi	Luigi
und	und
Lea	Lea
erseken	erschrecken
sich	sich
der	der
Turm	Turm
^	
brach	brach
zusamen	zusammen
.	.
Lars	Lars
fält	fällt
hin	hin
und	und
Lea	Lea
^	
fängt	fängt
in	ihn
auf	auf
.	.
Als	Als
dodo	Dodo
unter	unter
^	
dem	dem
Katong	Karton
erkamt	herkamt
lachen	lachen
alle	alle
.	.
