Das	Das
kaputte	kaputte
Fenster	Fenster
\h	\h
An	An
einem	einem
schönen	schönen
Sommertag	Sommertag
saßen	saßen
Lars	Lars
und	und
^	
Lea	Lea
beide	beide
an	an
ihren	ihren
Fenstern	Fenstern
und	und
guckten	guckten
^	
nach	nach
draußen	draußen
.	.
Sie	Sie
langweilten	langweilten
sich	sich
beide	beide
.	.
^	
Doch	Doch
plötzlich	plötzlich
hatte	hatte
Lars	Lars
eine	eine
Idee	Idee
.	.
Er	Er
holte	holte
^	
ein	ein
Seil	Seil
und	und
eine	eine
kleine	kleine
Gondel	Gondel
und	und
Öfnete	öffnete
^	
das	das
Fenster	Fenster
.	.
Lea	Lea
sah	sah
das	das
und	und
öfnete	öffnete
auch	auch
^	
ihr	ihr
Fenster	Fenster
.	.
Da	Da
rief	rief
Lars	Lars
:	:
"	"
Hey	Hey
Lea	Lea
ich	ich
^	
habe	habe
eine	eine
Idee	Idee
was	was
wir	wir
machen	machen
können	können
.	.
Lars	Lars
warf	warf
ihr	ihr
das	das
Seil	Seil
^	
zu	zu
und	und
Lea	Lea
fing	fing
es	es
.	.
Sie	Sie
wikelte	wickelte
es	es
um	um
einen	einen
Griff	Griff
^	
auf	auf
der	der
Fensterbank	Fensterbank
.	.
Danach	Danach
hang	~hang
Lars	Lars
eine	eine
minni	mini
Gondel	Gondel
mit	mit
einem	einem
braunen	braunen
Teddy	Teddy
drin	drin
^	
an	an
das	das
Seil	Seil
.	.
Lea	Lea
warf	warf
das	das
Seil	Seil
wieder	wieder
zu	zu
^	
Lars	Lars
und	und
er	er
knotete	knotete
es	es
auch	auch
bei	bei
sich	sich
fest	fest
.	.
^	
Dann	Dann
hagte	hakte
er	er
die	die
minni	mini
Gondel	Gondel
auch	auch
an	an
das	das
^	
andere	andere
Seil	Seil
fest	fest
.	.
Lars	Lars
zog	zog
an	an
den	den
Seil	Seil
und	und
^	
dann	dann
für	fuhr
die	die
minni	mini
Gondel	Gondel
.	.
Es	Es
machte	machte
ihren	ihren
^	
sehr	sehr
viel	viel
spaß	Spaß
zu_zugucken	zuzugucken
wie	wie
die	die
^	
Gondel	Gondel
sich	sich
bewegte	bewegte
.	.
Doch	Doch
plötzlich	plötzlich
hang	~hang
^	
die	die
Gondel	Gondel
schief	schief
an	an
den	den
Seilen	Seilen
.	.
Sie	Sie
wakelte	wackelte
^	
auch	auch
immer	immer
mehr	mehr
.	.
Dann	Dann
plötzlich	plötzlich
ries	riss
^	
das	das
eine	eine
Seil	Seil
von	von
den	den
Fenstergriff	Fenstergriff
ab	ab
.	.
^	
Lea	Lea
und	und
Lars	Lars
erschraken	erschraken
.	.
Die	Die
Gondel	Gondel
^	
stürtze	stürze
in	in
das	das
Fenster	Fenster
von	von
Frau	Frau
Blu-^me	Blume
sie	sie
lief	lief
zum	zum
Fenster	Fenster
und	und
sah	sah
das	dass
^	
es	es
kaputt	kaputt
war	war
.	.
Befor	Bevor
sie	sie
etwas	etwas
sagen	sagen
^	
konnte	konnte
sagt	sagt
Lars	Lars
schüchtern	schüchtern
:	:
"	"
Oh	Oh
Frau	Frau
^	
Blume	Blume
das	das
tut	tut
uns	uns
ja	ja
so	so
leid	leid
wie	wie
kön-^nen	können
wir	wir
das	das
wieder	wieder
gut	gut
machen	machen
.	.
"	"
"	"
Da	Da
^	
weiß	weiß
ich	ich
etwas	etwas
.	.
Ihr	Ihr
könntet	könntet
mir	mir
zeigen	zeigen
^	
wie	wie
man	man
so	so
eine	eine
Gondel	Gondel
baut	baut
"	"
,	,
meinte	meinte
Frau	Frau
^	
Blume	Blume
.	.
"	"
Ok	Ok
machen	machen
wir	wir
.	.
Aber	Aber
wo	wo
ist	ist
mein	mein
Teddy_^Bär	Teddybär
"	"
,	,
sagte	sagte
Lars	Lars
.	.
Frau	Frau
Blume	Blume
sah	sah
^	
den	den
Teddy_Bär	Teddybär
und	und
Lea	Lea
Lars	Lars
und	und
Frau	Frau
^	
Blume	Blume
trafen	trafen
sich	sich
und	und
sie	sie
hatten	hatten
zusammen	zusammen
^	
spaß	Spaß
.	.
