Die	Die
Seilbahn	Seilbahn
\h	\h
Lars	Lars
wirft	wirft
ein	ein
Seil	Seil
Zu	zu
Lea	Lea
,	,
Lea	Lea
fängt	fängt
es	es
und	und
^	
knotet	knotet
es	es
an	an
einer	einer
Mauer	Mauer
an	an
.	.
Lars	Lars
ruft	ruft
:	:
"	"
aufpassen	Aufpassen
^	
die	die
Bahn	Bahn
kommt	kommt
!	!
"	"
und	und
plötzlich	plötzlich
reist	reißt
das	das
^	
Seil	Seil
und	und
bewegt	bewegt
sich	sich
hin	hin
und	und
her	her
rauf	rauf
^	
und	und
runter	runter
.	.
Lea	Lea
und	und
Lars	Lars
erschreckten	erschreckten
sich	sich
^	
sie	sie
ruften	~ruften
o	o
nein	nein
bite	bitte
nicht	nicht
weil	weil
in	in
der	der
^	
Bahn	Bahn
Leas	Leas
Tedy	Teddy
ist	ist
.	.
Plötzlich	Plötzlich
krachte	krachte
^	
die	die
Bahn	Bahn
uter	unter
Lars	Lars
Fenster	Fenster
sie	sie
wolten	wollten
^	
hoffen	hoffen
das	dass
es	es
keiner	keiner
bemerkt	bemerkt
hat	hat
,	,
und	und
^	
sie	sie
wolten	wollten
hoffen	hoffen
das	dass
sie	sie
es	es
nicht	nicht
^	
bezahlen	bezahlen
müssen	müssen
,	,
Lars	Lars
rufte	~rufte
der	der
arme	arme
^	
Tedy	Teddy
und	und
die	die
arme	arme
Seilbahn	Seilbahn
.	.
Lars	Lars
Nachbarin	Nachbarin
^	
kommte	~kommte
zum	zum
kaputten	kaputten
Fenster	Fenster
,	,
sie	sie
war	war
^	
nicht	nicht
erfreut	erfreut
deswegen	deswegen
.	.
Lea	Lea
und	und
Lars	Lars
^	
ruften	~ruften
direkt	direkt
enschuldigung	Entschuldigung
das	das
^	
war	war
nicht	nicht
extra	extra
sie	sie
wuste	wusste
das	dass
sie	sie
^	
es	es
bezahlen	bezahlen
müssen	müssen
abber	aber
die	die
Nachbarin	Nachbarin
^	
sagte	sagte
nein	nein
schon	schon
gut	gut
ihr	ihr
müsst	müsst
es	es
nicht	nicht
beza_^hlen	bezahlen
