Die	Die
verlorände	~verlorende
Tasche	Tasche
\h	\h
Lea	Lea
und	und
Dodo	Dodo
sasen	saßen
in	in
einen	einen
Bus	Bus
.	.
^	
Und	Und
gegenüber	gegenüber
von	von
Lea	Lea
sas	saß
ein	ein
^	
alter	alter
man	Mann
.	.
Und	Und
neben	neben
Lea	Lea
war	war
Leas	Leas
^	
rucksak	Rucksack
.	.
Lea	Lea
und	und
Dodo	Dodo
sind	sind
^	
von	von
den	den
Bus	Bus
ausgstigen	ausgestiegen
.	.
Und	Und
^	
Lea	Lea
hat	hat
sein	sein
rucksak	Rucksack
in	in
den	den
Bus	Bus
^	
vergäsen	vergessen
.	.
Der	Der
Bus	Bus
ist	ist
weiter	weiter
gefaren	gefahren
^	
und	und
der	der
man	Mann
hat	hat
geschrin	geschrien
^	
du	du
hast	hast
deinen	deinen
rucksak	Rucksack
vergäsen	vergessen
.	.
^	
Lea	Lea
ist	ist
hiner	hinter
den	den
Bus	Bus
gerant	gerannt
^	
aber	aber
der	der
Bus	Bus
war	war
zu	zu
schnäl	schnell
.	.
^	
Dan	Dann
ist	ist
der	der
man	Mann
zu	zu
das	das
^	
Fundbüro	Fundbüro
gegangen	gegangen
und	und
hat	hat
^	
den	den
rucksak	Rucksack
da	da
gelasen	gelassen
.	.
^	
Lea	Lea
ist	ist
zu	zu
das	das
Fundbüro	Fundbüro
^	
gegangen	gegangen
und	und
hat	hat
seinen	seinen
^	
rucksak	Rucksack
genomen	genommen
.	.
