Lea	Lea
und	und
Dodo	Dodo
in	in
der	der
Schule	Schule
\h	\h
Lea	Lea
wartete	wartete
auf	auf
Lars	Lars
und	und
da	da
lief	lief
zu	zu
Lea	Lea
dann	dann
^	
gingen	gingen
sie	sie
nach	nach
Hause	Hause
.	.
Danach	Danach
haben	haben
Lars	Lars
^	
und	und
Dodo	Dodo
geschpielt	gespielt
Aber	Aber
dann	dann
mussten	mussten
sie	sie
zur	zur
^	
Schule	Schule
.	.
Lea	Lea
Hatte	hatte
seine	seine
Hausofgaben	Hausaufgaben
gemacht	gemacht
und	und
^	
Dodo	Dodo
hatte	hatte
sich	sich
raus	raus
gekriecht	~gekriecht
plötzlich	plötzlich
hatte	hatte
^	
Dodo	Dodo
,	,
ein	ein
Vogel	Vogel
gesehen	gesehen
und	und
hatte	hatte
gebellt	gebellt
.	.
Lea	Lea
seine	seine
^	
Lehrerin	Lehrerin
ist	ist
gekommen	gekommen
und	und
hatte	hatte
gelacht	gelacht
