der	Der
Verlorne	verlorene
Hund	Hund
\h	\h
Lea	Lea
hängt	hängt
Posta	Poster
von	von
ihrem	ihrem
Hund	Hund
wail	weil
Lea	Lea
^	
Dodo	Dodo
vermist	vermisst
.	.
Lea	Lea
warted	wartet
auf	auf
einem	einem
anruf	Anruf
.	.
^	
und	und
kugt	kuckt
auf	auf
den	den
Stift	Stift
und	und
Lea	Lea
ist	ist
^	
traurich	traurig
.	.
da	da
ruft	ruft
Plötzlich	plötzlich
Lars	Lars
,	,
Dodo	Dodo
an	an
.	.
^	
Lea	Lea
freut	freut
sich	sich
das	dass
Lea	Lea
weiß	weiß
wo	wo
Dodo	Dodo
ist	ist
.	.
^	
Da	Da
klingelt	klingelt
Auf	auf
einmal	einmal
Lars	Lars
an	an
mit	mit
Dodo	Dodo
.	.
^	
Lea	Lea
Springt	springt
von	von
dem	dem
Stul	Stuhl
und	und
dengt	denkt
^	
ach	ach
du	du
meine	meine
güte	Güte
.	.
Hei	?Hei
Lars	Lars
danke	danke
das	dass
^	
du	du
mein	mein
Hund	Hund
gefunden	gefunden
hast	hast
und	und
Dodo	Dodo
^	
rennt	rennt
soford	sofort
zum	zum
essen	Essen
und	und
Lars	Lars
^	
had	hat
noch	noch
ein	ein
Loli	Lolli
