Lea	Lea
wiel	will
zu	zu
Kino	Kino
sie	sie
hat	hat
Dodo	Dodo
mit	mit
ein	ein
Alter	alter
Mann	Mann
^	
sitzt	sitzt
vor	vor
ier	ihr
und	und
sie	sie
genist	genießt
die	die
ausicht	Aussicht
.	.
^	
Sie	Sie
muss	muss
austeigen	aussteigen
dodo	Dodo
hat	hat
angst	Angst
und	und
wiel	will
niecht	nicht
die	die
trepe	Treppe
^	
runter	runter
Lea	Lea
steigt	steigt
aus	aus
aber	aber
sie	sie
ist	ist
so	so
abgelengt	abgelenkt
das	dass
sie	sie
glat	glatt
^	
fergist	vergisst
ier	ihr
rucksak	Rucksack
zu	zu
nehmen	nehmen
.	.
^	
Lea	Lea
bemerckt	bemerkt
erst	erst
Jetzt	jetzt
das	dass
sie	sie
iren	ihren
rucksag	Rucksack
fergesen	vergessen
hat	hat
^	
und	und
dodo	Dodo
auh	auch
.	.
Lea	Lea
leuft	läuft
hienter	hinter
den	den
Bus	Bus
mit	mit
dodo	Dodo
.	.
^	
der	der
alt	alt
mann	Mann
gipt	gibt
den	den
rucksack	Rucksack
bei	bei
den	den
funtbüro	Fundbüro
ab	ab
^	
Lea	Lea
holt	holt
speter	später
den	den
rucksack	Rucksack
ab	ab
bei	bei
funtbüro	Fundbüro
^	
und	und
ale	alle
sint	sind
glücklich	glücklich
aber	aber
a|	am
meisten	meisten
^	
Lea	Lea
weil	weil
sie	sie
inz|	ins
k.no	Kino
kam	kam
