Der	Der
Unfall	Unfall
\h	\h
Lea	Lea
und	und
Lars	Lars
wollten	wollten
etwas	etwas
aus_Probieren	ausprobieren
sie	sie
versuchen	versuchen
eine	eine
^	
Seilbahn	Seilbahn
zu	zu
bauen	bauen
.	.
^	
Lars	Lars
war	war
in	in
der	der
Wohnung	Wohnung
im	im
Fenster	Fenster
und	und
hat	hat
mit	mit
einem	einem
Seil	Seil
^	
um	um
einen	einen
Holzstück	Holzstück
gewickelt	gewickelt
und	und
den	den
Seil	Seil
zu	zu
Lea	Lea
geworfen	geworfen
.	.
^	
Lea	Lea
ist	ist
auch	auch
im	im
Fenster	Fenster
aber	aber
gegenüber	gegenüber
von	von
Lars	Lars
Fenster	Fenster
.	.
^	
Lea	Lea
hat	hat
den	den
Seil	Seil
mit	mit
dem	dem
Holzstück	Holzstück
gefangen	gefangen
und	und
hat	hat
dann	dann
^	
denn	den
Holzstück	Holzstück
heraus	heraus
geholt	geholt
und	und
den	den
Seil	Seil
um	um
etwas	etwas
anderes	Anderes
^	
gewickelt	gewickelt
damit	damit
es	es
hält	hält
.	.
^	
Dann	Dann
hat	hat
Lars	Lars
die	die
Bahn	Bahn
auf	auf
den	den
Seil	Seil
befestigt	befestigt
.	.
^	
Lea	Lea
hat	hat
dann	dann
noch	noch
einen	einen
Seil	Seil
um	um
etwas	etwas
gewickelt	gewickelt
.	.
^	
Und	Und
dann	dann
hat	hat
Lars	Lars
die	die
Bahn	Bahn
los_gelassen	losgelassen
und	und
dann	dann
ist	ist
die	die
^	
Bahn	Bahn
zu	zu
Lea	Lea
gerutscht	gerutscht
.	.
Aber	Aber
dan	dann
ist	ist
der	der
Seil	Seil
locker	locker
^	
geworden	geworden
und	und
ist	ist
abgerissen	abgerissen
und	und
in	in
der	der
Scheibe	Scheibe
geworfen	geworfen
.	.
