Die	Die
Seilbahn	Seilbahn
\h	\h
Lars	Lars
stand	stand
an	an
seinem	seinem
Fenster	Fenster
und	und
schmieß	schmiss
^	
Lea	Lea
ein	ein
Seil	Seil
hinunter	hinunter
.	.
Dan	Dann
befestigte	befestigte
sie	sie
das	das
^	
Seil	Seil
.	.
Lars	Lars
befesdigte	befestigte
eine	eine
kiste	Kiste
mit	mit
einem	einem
^	
Teddy	Teddy
drinnen	drinnen
und	und
die	die
Seilbahn	Seilbahn
ging	ging
runter	runter
.	.
^	
Doch	Doch
dan	dann
lockerte	lockerte
sich	sich
eine	eine
Schraube	Schraube
^	
und	und
der	der
Teddy	Teddy
knallte	knallte
gegen	gegen
ein	ein
^	
Fenster	Fenster
und	und
die	die
Scheibe	Scheibe
ging	ging
kaputt	kaputt
.	.
Lea	Lea
und	und
^	
Lars	Lars
waren	waren
sehr	sehr
erschrocken	erschrocken
.	.
Als	Als
Frau	Frau
^	
Sammer	Sammer
kam	kam
und	und
das	das
kaputte	kaputte
Fenster	Fenster
sah	sah
^	
war	war
sie	sie
sehr	sehr
traurig	traurig
.	.
Aber	Aber
wie	wie
konnte	konnte
^	
der	der
Teddy	Teddy
das	das
Fenster	Fenster
kaputt_machen	kaputtmachen
???????	???????
