Lars	Lars
Lea	Lea
und	und
Niko	Niko
die	die
bauen	bauen
ein	ein
turm	Turm
.	.
^	
Dodo	Dodo
kicht	kriecht
in	in
die	die
kisde	Kiste
rein	rein
.	.
^	
Lars	Lars
sinst	sitzt
auf	auf
die	die
rote	rote
kisde	Kiste
.	.
^	
Lars	Lars
felt	fällt
runter	runter
das	das
turm	Turm
get	geht
kabunt	kaputt
.	.
^	
Lars	Lars
Lea	Lea
und	und
Niko	Niko
haben	haben
anst	Angst
.	.
^	
Dan	Dann
kmt	kommt
Dodo	Dodo
raus	raus
Lars	Lars
Lea	Lea
und	und
Niko	Niko
^	
frochen	freuen
wider	wieder
und	und
es	es
ist	ist
wider	wieder
gut	gut
