Die	Die
verlorene	verlorene
Tasche	Tasche
\h	\h
An	An
eirem	einem
schönen	schönen
Tag	Tag
ging	ging
Lea	Lea
dar	das
neunjehrige	neunjährige
^	
Mädchen	Mädchen
mit	mit
ihren	ihren
Hund	Hund
Doddo	Dodo
in	in
einen	einen
^	
Bus	Bus
hinein	hinein
.	.
Lea	Lea
saß	saß
neben	neben
einen	einen
alten	alten
Mann	Mann
.	.
^	
Und	Und
dann	dann
stig	stieg
sie	sie
aus	aus
.	.
Und	Und
Doddo	Dodo
hatte	hatte
^	
angst	Angst
die	die
Treppen	Treppen
runter	runter
zu	zu
steigen	steigen
.	.
^	
Doch	Doch
dan	dann
plötzlich	plötzlich
ist	ist
schon	schon
der	der
Bas	Bus
gefahren	gefahren
.	.
^	
Und	Und
dan	dann
fiel	fiel
ihr	ihr
noch	noch
ein	ein
das	dass
sie	sie
ihre	ihre
^	
Tasche	Tasche
fergessen	vergessen
hatte	hatte
.	.
Der	Der
alte	alte
Mann	Mann
hatte	hatte
^	
die	die
Tasche	Tasche
gsehen	gesehen
und	und
rief	rief
nach	nach
ihr	ihr
:	:
"	"
Du	Du
^	
hast	hast
deine	deine
Tasche	Tasche
fergessen	vergessen
!	!
"	"
.	.
Lea	Lea
rante	rannte
so	so
^	
schnell	schnell
sie	sie
konnte	konnte
zum	zum
Bur	Bus
.	.
Doch	Doch
der	der
Bur	Bus
^	
war	war
zu	zu
schnell	schnell
für	für
sie	sie
.	.
Auch	Auch
Doddo	Dodo
rante	rannte
^	
so	so
schnell	schnell
er	er
konntte	konnte
.	.
Der	Der
Mann	Mann
hatte	hatte
die	die
^	
Tasche	Tasche
zum	zum
Funktbüro	Fundbüro
gebracht	gebracht
die	die
Tasche	Tasche
^	
hatte	hatte
die	die
nummer	Nummer
38	38
.	.
Der	Der
Mann	Mann
sagte	sagte
zum	zum
^	
andaren	anderen
Mann	Mann
:	:
"	"
Das	Das
hat	hat
ein	ein
Mädchen	Mädchen
und	und
^	
ein	ein
Hund	Hund
im	im
Bus	Bus
vergessen	vergessen
.	.
"	"
^	
Der	Der
Mann	Mann
der	der
im	im
Funktbüro	Fundbüro
arbeiten	arbeiten
^	
hat	hat
gesagt	gesagt
:	:
"	"
Okey	Okay
"	"
.	.
Lea	Lea
hatte	hatte
eine	eine
idee	Idee
^	
gehabt	gehabt
und	und
ist	ist
zum	zum
Funktbüro	Fundbüro
gegangen	gegangen
.	.
^	
Ihre	Ihre
Tasche	Tasche
war	war
zum	zum
glück	Glück
im	im
Funkt-^büro	Fundbüro
da	da
.	.
Lea	Lea
sagte	sagte
:	:
"	"
Danke	Danke
"	"
.	.
Der	Der
Mann	Mann
^	
sagte	sagte
zu	zu
ihr	ihr
:	:
"	"
Geh*n	Gern
geschehen	geschehen
"	"
.	.
